2025-07-22 05:55:32.861 [info] Starting Python Locator /home/jesus/.vscode/extensions/ms-python.python-2025.10.1-linux-x64/python-env-tools/bin/pet server
2025-07-22 05:55:33.279 [info] Discovered env: /usr/bin/python3
2025-07-22 05:55:33.283 [info] Discovered env: /bin/python3
2025-07-22 05:55:33.286 [info] Resolved Python Environment /usr/bin/python3
2025-07-22 05:55:33.353 [info] Locator Conda took 230.504842ms
2025-07-22 05:55:33.354 [info] Locator Homebrew took 1.983354ms
2025-07-22 05:55:33.355 [info] Locator LinuxGlobal took 274.040303ms
2025-07-22 05:55:33.356 [info] Locator PipEnv took 1.343346ms
2025-07-22 05:55:33.357 [info] Locator Pixi took 22.07µs
2025-07-22 05:55:33.357 [info] Locator Poetry took 1.691161ms
2025-07-22 05:55:33.357 [info] Locator PyEnv took 1.165744ms
2025-07-22 05:55:33.357 [info] Locator Venv took 19.95µs
2025-07-22 05:55:33.358 [info] Locator VirtualEnv took 19.07µs
2025-07-22 05:55:33.358 [info] Locator VirtualEnvWrapper took 191.503µs
2025-07-22 05:55:33.358 [info] Locator GlobalVirtualEnvs took 203.912µs
2025-07-22 05:55:33.358 [info] Locator Locators took 275.991936ms
2025-07-22 05:55:33.358 [info] Locator Path took 318.312505ms
2025-07-22 05:55:33.358 [info] Locator Workspaces took 12.051331ms
2025-07-22 05:55:33.358 [info] Refresh completed in 320ms
2025-07-22 05:56:31.223 [info] Resolved Python Environment /usr/bin/python3
2025-07-22 05:57:13.567 [info] Resolved Python Environment /usr/bin/python3
2025-07-22 05:58:23.935 [info] Resolved Python Environment /usr/bin/python3
2025-07-22 06:00:15.082 [info] Resolved Python Environment /usr/bin/python3
2025-07-22 06:01:47.879 [info] Resolved Python Environment /usr/bin/python3
2025-07-22 06:03:59.048 [info] Resolved Python Environment /usr/bin/python3
2025-07-22 06:33:38.887 [info] Resolved Python Environment /usr/bin/python3
2025-07-22 06:41:48.729 [info] Resolved Python Environment /usr/bin/python3
2025-07-22 06:42:31.502 [info] Resolved Python Environment /usr/bin/python3
2025-07-22 06:43:37.647 [info] Resolved Python Environment /usr/bin/python3
2025-07-22 06:48:36.268 [info] Resolved Python Environment /usr/bin/python3
2025-07-22 06:49:47.279 [info] Resolved Python Environment /usr/bin/python3
2025-07-22 06:51:07.529 [info] Resolved Python Environment /usr/bin/python3
2025-07-22 06:52:15.198 [info] Resolved Python Environment /usr/bin/python3
2025-07-22 06:56:15.953 [info] Resolved Python Environment /usr/bin/python3
2025-07-22 06:57:32.148 [info] Resolved Python Environment /usr/bin/python3
2025-07-22 06:58:04.554 [info] Resolved Python Environment /usr/bin/python3
2025-07-22 06:58:54.326 [info] Resolved Python Environment /usr/bin/python3
2025-07-22 06:59:25.106 [info] Resolved Python Environment /usr/bin/python3
2025-07-22 07:02:09.697 [info] Resolved Python Environment /usr/bin/python3
2025-07-22 07:03:26.746 [info] Resolved Python Environment /usr/bin/python3
2025-07-22 07:04:05.947 [info] Resolved Python Environment /usr/bin/python3
2025-07-22 07:05:10.705 [info] Resolved Python Environment /usr/bin/python3
2025-07-22 07:09:03.274 [info] Resolved Python Environment /usr/bin/python3
2025-07-22 07:09:52.324 [info] Resolved Python Environment /usr/bin/python3
2025-07-22 07:13:30.648 [info] Resolved Python Environment /usr/bin/python3
2025-07-22 07:15:15.895 [info] Resolved Python Environment /usr/bin/python3
2025-07-22 07:16:10.977 [info] Resolved Python Environment /usr/bin/python3
2025-07-22 07:21:00.012 [info] Resolved Python Environment /usr/bin/python3
2025-07-22 07:21:54.538 [info] Resolved Python Environment /usr/bin/python3
2025-07-22 07:23:57.888 [info] Resolved Python Environment /usr/bin/python3
2025-07-22 07:38:17.623 [info] Resolved Python Environment /usr/bin/python3
2025-07-22 07:43:01.267 [info] Resolved Python Environment /usr/bin/python3
2025-07-22 07:48:11.389 [info] Resolved Python Environment /usr/bin/python3
2025-07-22 07:49:04.566 [info] Resolved Python Environment /usr/bin/python3
2025-07-22 07:50:47.845 [info] Resolved Python Environment /usr/bin/python3
2025-07-22 08:03:15.473 [info] Resolved Python Environment /usr/bin/python3
2025-07-22 08:10:34.466 [info] Resolved Python Environment /usr/bin/python3
2025-07-22 08:12:52.961 [info] Resolved Python Environment /usr/bin/python3
2025-07-22 08:14:12.792 [info] Resolved Python Environment /usr/bin/python3
2025-07-22 08:16:23.565 [info] Resolved Python Environment /usr/bin/python3
