2025-07-22 13:15:14.615 [info] Starting Python Locator /home/jesus/.vscode/extensions/ms-python.python-2025.10.1-linux-x64/python-env-tools/bin/pet server
2025-07-22 13:15:15.345 [info] Discovered env: /home/jesus/portafolio/venv/bin/python
2025-07-22 13:15:15.372 [info] Discovered env: /usr/bin/python3
2025-07-22 13:15:15.391 [info] Discovered env: /bin/python3
2025-07-22 13:15:15.437 [info] Locator Conda took 259.495654ms
2025-07-22 13:15:15.437 [info] Locator Homebrew took 2.589179ms
2025-07-22 13:15:15.437 [info] Locator LinuxGlobal took 155.860415ms
2025-07-22 13:15:15.437 [info] Locator PipEnv took 37.4µs
2025-07-22 13:15:15.437 [info] Locator Pixi took 163.06µs
2025-07-22 13:15:15.437 [info] Locator Poetry took 322.17µs
2025-07-22 13:15:15.437 [info] Locator PyEnv took 118.11µs
2025-07-22 13:15:15.437 [info] Locator Venv took 18.38µs
2025-07-22 13:15:15.437 [info] Locator VirtualEnv took 8.790228ms
2025-07-22 13:15:15.437 [info] Locator VirtualEnvWrapper took 21.63µs
2025-07-22 13:15:15.438 [info] Locator GlobalVirtualEnvs took 197.61µs
2025-07-22 13:15:15.439 [info] Locator Locators took 265.755913ms
2025-07-22 13:15:15.439 [info] Locator Path took 282.303469ms
2025-07-22 13:15:15.439 [info] Locator Workspaces took 101.291644ms
2025-07-22 13:15:15.439 [info] Refresh completed in 284ms
2025-07-22 13:15:15.442 [info] Resolved Python Environment /usr/bin/python3
2025-07-22 13:15:21.965 [info] Resolved Python Environment /home/jesus/portafolio/venv/bin/python
